RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Ivica Zubac,Lac,*,C,28.7,20,32.5,20.4,13.6,49,0.755,241,0.602,0,0.0,0.602,0.623,16.4,11.5,2.7,0.5,1.0,1.9,27.9,19.0,30.5,9.8,125.4,112.2
,Nikola Vucevic,Chi,*,C,35.1,18,30.6,21.2,10.8,32,0.813,148,0.547,91,0.396,0.565,0.585,16.4,9.8,3.6,0.7,0.4,1.6,26.3,20.0,29.8,10.9,119.3,111.0
,Quentin Grimes,Phi,*,G,25.6,18,32.3,21.5,18.8,76,0.842,101,0.535,114,0.36,0.537,0.594,16.4,3.4,4.3,0.9,0.5,2.8,19.8,20.7,24.2,7.7,111.7,114.2
,Payton Pritchard,Bos,*,G,27.8,19,32.4,20.7,8.6,42,0.833,106,0.594,149,0.329,0.535,0.563,16.2,4.4,4.9,0.7,0.1,1.3,20.6,21.1,25.5,8.7,123.8,117.1
,Jaime Jaquez Jr.,Mia,*,G,24.8,19,29.8,21.7,14.7,70,0.771,200,0.58,32,0.219,0.545,0.584,16.2,6.3,5.3,0.6,0.2,2.1,22.5,21.5,27.8,10.9,117.5,107.8
,Collin Sexton,Cha,*,G,26.9,19,26.4,24.7,18.5,87,0.874,142,0.549,69,0.362,0.547,0.616,16.2,2.1,4.5,0.7,0.2,2.5,18.3,20.6,22.7,8.1,117.4,116.2
,Mikal Bridges,Nyk,*,G-F,29.2,18,35.2,16.4,8.1,33,0.788,119,0.613,97,0.412,0.616,0.633,16.2,4.6,4.4,2.1,1.2,1.1,20.8,20.7,25.2,7.8,134.4,111.5
,P.J. Washington,Dal,*,F,27.3,19,31.7,23.3,16.2,76,0.684,164,0.494,89,0.337,0.498,0.531,16.0,7.8,2.3,1.0,1.2,2.6,23.8,18.3,26.1,8.3,98.7,107.1
,Derrick White,Bos,*,G,31.4,19,33.3,22.7,8.4,56,0.839,123,0.423,161,0.317,0.452,0.492,16.0,4.0,5.1,1.7,1.4,1.4,20.0,21.1,25.1,8.3,113.0,115.0
,Kyshawn George,Was,*,F,22.0,16,31.3,22.1,22.1,45,0.733,103,0.515,87,0.437,0.579,0.603,15.8,6.1,4.8,1.0,0.9,3.4,21.9,20.6,26.8,9.9,106.9,112.3
,Immanuel Quickley,Tor,*,G,26.5,20,32.1,20.6,11.4,51,0.745,125,0.536,131,0.366,0.543,0.567,15.8,4.7,6.3,1.3,0.1,1.7,20.5,22.1,26.8,9.7,117.4,108.9
,O.G. Anunoby,Nyk,*,F-G,28.4,12,31.1,20.0,13.0,25,0.76,68,0.574,79,0.392,0.582,0.601,15.8,5.6,2.2,1.9,0.7,1.8,21.4,18.0,23.6,7.5,116.8,108.5
,Jaden McDaniels,Min,*,F,25.2,18,31.6,19.4,15.2,43,0.86,144,0.549,62,0.468,0.595,0.627,15.7,4.8,2.4,1.2,1.1,2.1,20.5,18.1,22.9,7.2,117.1,105.7
,Devin Vassell,San,*,G-F,25.3,18,33.2,18.8,8.0,35,0.857,105,0.476,124,0.403,0.546,0.573,15.6,3.7,2.4,1.1,0.4,1.1,19.3,17.9,21.7,6.2,117.0,110.5
,Ayo Dosunmu,Chi,*,G,25.9,17,26.8,20.0,10.5,48,0.833,111,0.586,67,0.478,0.635,0.668,15.6,2.6,2.9,0.4,0.2,1.2,18.3,18.6,21.2,7.3,126.8,117.7
,VJ Edgecombe,Phi,*,G,20.3,15,37.4,19.6,11.8,38,0.737,134,0.433,82,0.366,0.477,0.503,15.6,6.0,4.2,1.3,0.5,1.9,21.6,19.8,25.8,7.8,108.8,112.1
,Deandre Ayton,Lal,*,C,27.4,16,29.7,19.7,18.5,25,0.56,167,0.707,0,0.0,0.707,0.702,15.6,8.4,0.9,0.8,0.9,2.4,24.0,16.6,24.9,6.6,121.6,106.8
